new_name,old_name,label
,StartDate,Start Date
,EndDate,End Date
,Status,Response Type
,IPAddress,IP Address
,Progress,Progress
,Duration__in_seconds_,Duration (in seconds)
,Finished,Finished
,RecordedDate,Recorded Date
,ResponseId,Response ID
,RecipientLastName,Recipient Last Name
,RecipientFirstName,Recipient First Name
,RecipientEmail,Recipient Email
,ExternalReference,External Data Reference
,LocationLatitude,Location Latitude
,LocationLongitude,Location Longitude
,DistributionChannel,Distribution Channel
,UserLanguage,User Language
,Q3,"First, please select your country code:"
,Q4,Please enter your parent's mobile number (without country code):
,Q5,Please confirm your parent's mobile number (without country code):
,Q6,Please enter your parent's mobile number (without country code):
,Q7,Please confirm your parent's mobile number (without country code):
,Q8,Please enter your parent's mobile number (without country code):
,Q9,Please confirm your parent's mobile number (without country code):
,Q10,"Please enter your parent's mobile number in the format of



+[country code] [phone number]"
,Q11,"Please confirm your parent's mobile number in the format of



+[country code] [phone number]"
,Q12,How old are you?
,Q13,"What is your birthday?

Day"
,Q14,Month
,Q15,Year
,Q16_1,"Please respond to the following questions on a scale from 0 to 10: - Overall, how satisfied are you with life as a whole these days?"
,Q17_1,Q17 - In general I consider myself a happy person.
,Q18_1,"Q18 - In general, how would you rate your physical health?"
,Q19_1,Q19 - How would you rate your overall mental health?
,Q20_1,"Q20 - Overall, to what extent do you feel the things you do in your life are worthwhile?"
,Q21_1,Q21 - I am doing things now that will help me achieve my goals in life.
,Q22_1,"Q22 - I always act to promote good in all circumstances, even in difficult and challenging situations."
,Q23_1,Q23 - I am always able to give up some happiness now for greater happiness later.
,Q24_1,Q24 - I am content with my friendships and relationships.
,Q25_1,Q25 - I have people in my life I can talk to about things that really matter.
,Q26_1,Q26 - My family has enough money to live a truly decent life.
,Q27_1,"Q27 - How often do you worry about safety, food, or housing?"
,Q28_1,"Please respond to the following questions on a scale from 0 to 10: - Overall, I am happy with life."
,Q29_1,Q29 - I’m a happy person.
,Q30_1,Q30 - How healthy are you?
,Q31_1,Q31 - My mind is at peace.
,Q32_1,Q32 - Do you feel the things you do in your life matter?
,Q33_1,Q33 - I am doing things now that will help me in my life when I grow up.
,Q34_1,"Q34 - I always try to do the right thing, even when it is hard."
,Q35_1,Q35 - I am always able to do something hard now that I know will make me happy later.
,Q36_1,Q36 - I am happy with my friendships and relationships.
,Q37_1,Q37 - I have people in my life I can talk to about things that really matter.
,Q38_1,Q38 - My family has enough money to live a good life.
,Q39_1,"Q39 - How often do you worry about being safe, having food to eat, or having a place to live?"
,Q40_1,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - My parent senses when I’m upset about something.
,Q40_2,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - I feel that my parent doesn’t understand me.
,Q40_3,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - My parent encourages me to talk about my difficulties.
,Q40_4,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - My parent trusts my judgment.
,Q40_5,"Please think about the parent who shared this questionnaire with you when you respond to the following statements. - If my parent knows something is bothering me, she asks me about it."
,Q40_6,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - I cannot depend on my parent these days.
,Q40_7,"Please think about the parent who shared this questionnaire with you when you respond to the following statements. - When we discuss things, my parent considers my point of view."
,Q40_8,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - I tell my parent about my problems and troubles.
,Q40_9,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - I get upset a lot more than my parent knows about.
,Q40_10,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - My parent helps me to understand myself better.
,Q40_11,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - My parent respects my feelings.
,Q40_12,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - My parent doesn’t understand what I’m going through these days.
,Q40_13,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - I can count on my parent when I need to get something off my chest.
,Q40_14,Please think about the parent who shared this questionnaire with you when you respond to the following statements. - I trust my parent.
,Q41_1,Please respond to the following: - I am patient with other people.
,Q41_2,Please respond to the following: - My parents would say I am very patient.
,Q42_1,Please respond to the following: - I am pretty calm.
,Q42_2,Please respond to the following: - I like to be at peace.
,Q42_3,Please respond to the following: - When someone bothers me I try to stay calm.
,Q42_4,Please respond to the following: - I am almost always relaxed.
,Q42_5,Please respond to the following: - When things go wrong I try to calm myself down.
,Q42_6,Please respond to the following: - Even if other people are nervous I can feel calm.
,Q42_7,Please respond to the following: - Most days I feel at peace.
,Q42_8,"Please respond to the following: - Even if I have problems, I still stay calm."
,Q42_9,Please respond to the following: - I stay calm even if I can't do what I like.
,Q42_10,Please respond to the following: - I solve problems very calmly.
,Q42_11,Please respond to the following: - When I am scared I try to calm myself down.
,Q43_1,Please think about the parent who shared this questionnaire with you when you respond to the following questions. - I am deeply loved by my mother/father.
,Q43_2,Please think about the parent who shared this questionnaire with you when you respond to the following questions. - My mother/father deeply desires that our lives will always be closely connected.
,Q43_3,Please think about the parent who shared this questionnaire with you when you respond to the following questions. - My mother/father deeply desires that all will go well for me.
,Q44_1,Q44 - I deeply love my mother/father
,Q44_2,Q44 - I really desire that my life will always be closely connected with my mother/father
,Q44_3,Q44 - I really want everything to go well for my mother/father
,Q49,"Please think about your parent who shared this questionnaire with you when you respond to the following.



I spend as much quality time as I’d like to with my parent."
,Q69,"In the past two months, did your parent reflect on what there is to be grateful for with you (in which you reflect on what you feel thankful for)?"
,Q87,What did they say? What did you share that you were grateful for?
,Q70,"In the past two months, did your parent ever use a breathing exercise with you to calm down?"
,Q88,What happened? What did they do? How did it make you feel?
,Q71,"In the past two months, did your parent try to support you to feel calm?"
,Q89,"What happened? What did they do? Did they do anything differently than they usually do? If so, what?"
,Q73,"In the past two months, did your parent try to understand your perspective (what you think) about a disagreement?"
,Q91,What happened? What did they say?
,Q74,"In the past two months, did your parent ask you how you feel during a disagreement?"
,Q92,What happened? What did they say?
,Q75,"In the past two months, did your parent talk with you in a way that made you feel supported and cared for after you did something wrong?"
,Q93,What happened? What did they say?
,Q76,"In the past two months, did your parent ask you for forgiveness after getting angry with you or yelling at you?"
,Q94,What happened? What did they say?
,Q77,"In the past two months, have you noticed your parent being more patient with you?"
,Q95,Can you describe a moment in the past two months that your parent was patient with you?
,Q78,"In the past two months, have you noticed your parent being calmer?"
,Q79,"In the past two months, have you noticed your parent being more joyful?"
,Q80,"In the past two months, have you noticed your parent being more grateful (thankful)?"
,Q81,"In the past two months, have you noticed you’ve been more patient?"
,Q82,"In the past two months, have you noticed you’ve been calmer?"
,Q101,Can you describe a moment in the past two months that you felt calm with your parent?
,Q83,"In the past two months, have you noticed you’ve been more joyful?"
,Q84,"In the past two months, have you noticed you’ve been more grateful (thankful)?"
,Q103,Can you describe a moment in the past two months that you felt grateful (thankful) for your parent?
,Q85,"Reflecting on the past two months, have you noticed any improvement in your relationship with your parent?"
,Q104,How has your relationship with your parent improved?
,Q86,"Reflecting on the past two months, have you noticed any improvement in your wellbeing (how good you feel)?"
,Q105,How has your wellbeing improved?
